Cod_Estable,Cod_Evaluacion,Cantidad_Estud,Num_Boleta,Barcode,Tipo_Eval,Corr_Año,Region,Cod_Region,Departamento,Cod_Depa,Municipio,Cod_Muni,Nivel,Cod_Nivel,Rama_Abstracta,Cod_Rama_Abstracta,Edad,Edad_RECO,Sexo_RECO,Sector,Cod_Sector,Area,Cod_Area,Jornada,Cod_Jornada,Ciclo,Cod_Distrito,Identificacion_Etnica_RECO,Ed_Asistio_Preprimaria,Ed_Repitio_Algun_Grado,Ed_Trabaja_Actualmente,Fm_Asistio_Escuela_Papa,Fm_Grado_Alcanzo_Papa_RECO,Fm_Asistio_Escuela_Mama,Fm_Grado_Alcanzo_Mama_RECO,CC_Material_Predomina_En_Piso_Casa,CC_Material_Predomina_En_Paredes_Casa,CC_Material_Predomina_En_Techo_Casa,Sc_Drenaje,Sc_Electricidad,Sc_Basura,Sc_Servicio_Internet,Sc_Neflix,CU_Leña,CU_Gas,CU_Electricidad,Smart_Tv,Secadora,Refrigerador,Computadora,Horno_Microondas,Horno_Tostador,Lavadora,Impresora,CC_Familia_Automovil,Mate_Periodos_Matematicas_Semana,Lect_Periodos_Lectura_Semana,Lect_Libros_Completos_Ha_Leido,Lectura_Gusto,Lectura_Horas,Grad_No_Se,Grad_Seguir_Estudiando,Grad_Trabajar,Grad_Formar_Familia,Grad_Trabajar_Extranjero,Gustaria_Universidad,Informacion_Prueba,Measure_Mate,Measure_Lect,Desempeño_Mate,Desempeño_Lect,Logro_Mate,Logro_Lect
05-02-0232-46,2718591578,54,403974,052718591578,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,2,3,4,4,3,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,5,2,3,1,2,0,1,0,0,0,1,0,0.946,0.624,2,3,0,1
05-02-0232-46,2962808876,54,403999,052962808876,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,18,3,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,2,2,1,5,4,2,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,5,5,2,1,1,0,1,1,0,0,1,1,-0.185,1.251,1,4,0,1
05-02-0232-46,3220734863,54,403961,053220734863,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,4,2,3,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,5,5,3,1,1,0,1,0,0,0,1,0,0.97,2.05,2,4,0,1
05-02-0232-46,3248932952,54,403967,053248932952,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,2,4,5,4,5,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,5,2,2,0,0,0,1,1,0,0,1,1,2.154,2.264,4,4,1,1
05-02-0232-46,3261069252,54,403973,053261069252,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,2,3,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,5,4,0,1,1,0,1,0,0,0,1,1,0.511,1.004,2,4,0,1
05-02-0232-46,3564317249,54,403982,053564317249,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,1,2,1,5,4,2,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,6,5,1,0,1,0,1,1,0,0,1,1,0.414,0.961,2,4,0,1
05-02-0232-46,3830340190,54,403986,053830340190,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,.,3,2,4,5,4,4,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,6,5,2,0,1,0,1,0,0,0,1,1,-0.8,-0.194,1,1,0,0
05-02-0232-46,4397412147,54,403952,054397412147,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,2,3,5,4,2,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,5,5,2,1,2,0,1,0,0,0,1,1,-0.004,-0.163,1,1,0,0
05-02-0232-46,4801514442,54,403959,054801514442,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,2,3,5,4,5,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,5,5,1,1,1,0,1,1,0,1,1,1,0.871,0.455,2,2,0,0
05-02-0232-46,5022303172,54,403983,055022303172,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,1,3,1,4,5,4,2,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,5,5,2,1,1,0,1,0,0,0,1,1,-0.532,-0.354,1,1,0,0
05-02-0232-46,5103564695,54,403962,055103564695,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,4,2,3,5,5,5,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,5,5,1,0,1,0,1,1,0,0,1,1,0.348,0.733,2,3,0,1
05-02-0232-46,5362989906,54,403957,055362989906,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,20,5,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,2,2,2,4,4,2,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,5,3,0,1,1,0,0,0,0,1,1,1,-1.04,-0.776,1,1,0,0
05-02-0232-46,5680543753,54,404000,055680543753,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,2,2,4,4,2,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,5,5,2,0,0,0,1,1,0,0,1,1,1.262,1.113,3,4,1,1
05-02-0232-46,5869948078,54,403994,055869948078,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,1,2,3,5,4,4,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,5,5,1,1,2,0,1,0,0,0,1,1,-0.421,0.845,1,3,0,1
05-02-0232-46,5943495401,54,403972,055943495401,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,3,2,0,0,.,3,2,3,5,4,5,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,5,0,1,1,1,0,1,0,0,1,1,1,1.117,0.875,3,4,1,1
05-02-0232-46,5995974279,54,403984,055995974279,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,2,3,5,4,5,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,5,5,2,1,1,0,1,1,0,0,1,1,3.393,1.376,4,4,1,1
05-02-0232-46,6088502171,54,403992,056088502171,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,0,0,5,4,5,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,5,5,2,1,0,1,1,0,0,0,1,1,-0.332,-0.367,1,1,0,0
05-02-0232-46,6426426849,54,403948,056426426849,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,4,2,3,5,4,2,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,5,1,0,0,0,0,1,0,0,0,1,1,0.578,1.241,2,4,0,1
05-02-0232-46,6482482864,54,403991,056482482864,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,1,2,1,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,5,5,7,1,3,0,1,1,0,0,1,1,2.753,2.264,4,4,1,1
05-02-0232-46,6602444228,54,403965,056602444228,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,2,4,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,5,5,3,0,2,0,1,0,0,0,1,1,0.722,1.004,2,4,0,1
05-02-0232-46,6836589040,54,403958,056836589040,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,3,2,0,0,2,4,2,3,4,4,5,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,5,4,1,1,2,0,1,0,0,0,1,1,1.673,2.002,4,4,1,1
05-02-0232-46,6843707101,54,403985,056843707101,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,2,2,2,5,5,5,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,5,5,1,1,0,0,1,0,0,0,1,1,-0.288,0.667,1,3,0,1
05-02-0232-46,7282701575,54,403979,057282701575,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,4,2,4,4,4,2,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,5,2,1,0,1,0,1,0,0,0,1,1,-0.62,0.251,1,2,0,0
05-02-0232-46,7493677817,54,403950,057493677817,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,4,2,3,4,4,2,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,5,1,2,1,0,0,1,1,0,0,1,1,-0.113,0.733,1,3,0,1
05-02-0232-46,7522832181,54,403955,057522832181,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,4,2,3,4,4,2,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,5,3,2,1,1,0,1,1,0,0,1,1,0.111,0.251,2,2,0,0
05-02-0232-46,7589638134,54,403953,057589638134,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,,1,2,0,0,2,4,2,4,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,4,3,4,1,2,0,1,0,0,0,1,1,-0.416,0.152,1,2,0,0
05-02-0232-46,7629791017,54,403964,057629791017,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,4,2,3,5,4,5,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,5,2,0,1,0,0,1,1,0,0,1,0,-0.17,0.34,1,2,0,0
05-02-0232-46,7744024747,54,403987,057744024747,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,2,3,4,4,2,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,5,0,3,1,1,0,1,0,0,0,1,1,-0.237,0.352,1,2,0,0
05-02-0232-46,7963567252,54,403993,057963567252,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,2,4,4,4,5,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,6,6,7,1,2,0,1,1,0,0,1,1,1.855,2.05,4,4,1,1
05-02-0232-46,8191531290,54,403977,058191531290,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,4,2,4,5,4,2,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,5,1,1,1,1,0,1,1,0,0,1,1,1.323,1.688,3,4,1,1
05-02-0232-46,8417164729,54,403969,058417164729,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,4,2,4,5,4,5,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,5,5,7,1,3,0,1,0,0,0,1,1,0.187,2.268,2,4,0,1
05-02-0232-46,8782536556,54,403981,058782536556,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,1,1,0,1,4,5,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,5,5,0,0,0,0,1,1,0,0,1,1,2.589,1.859,4,4,1,1
05-02-0232-46,9668018835,54,403990,059668018835,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,4,2,4,4,4,2,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,6,6,7,1,2,0,1,1,0,0,1,1,1.172,2.002,3,4,1,1
