Cod_Estable,Cod_Evaluacion,Cantidad_Estud,Num_Boleta,Barcode,Corr_Año,Region,Cod_Region,Departamento,Cod_Depa,Municipio,Cod_Muni,Nivel,Cod_Nivel,Rama_Abstracta,Cod_Rama_Abstracta,Edad,Edad_RECO,Sexo_RECO,Sector,Cod_Sector,Area,Cod_Area,Jornada,Cod_Jornada,Ciclo,Cod_Distrito,Identificacion_Etnica_RECO,Ed_Asistio_Preprimaria,Ed_Repitio_Algun_Grado,Ed_Trabaja_Actualmente,Fm_Asistio_Escuela_Papa,Fm_Grado_Alcanzo_Papa_RECO,Fm_Asistio_Escuela_Mama,Fm_Grado_Alcanzo_Mama_RECO,CC_Material_Predomina_En_Piso_Casa,CC_Material_Predomina_En_Paredes_Casa,CC_Material_Predomina_En_Techo_Casa,Sc_Drenaje,Sc_Electricidad,Sc_Basura,Sc_Servicio_Internet,Sc_Neflix,CU_Leña,CU_Gas,CU_Electricidad,Smart_Tv,Secadora,Refrigerador,Computadora,Horno_Microondas,Horno_Tostador,Lavadora,Impresora,CC_Familia_Automovil,Mate_Periodos_Matematicas_Semana,Lect_Periodos_Lectura_Semana,Lect_Libros_Completos_Ha_Leido,Lectura_Gusto,Lectura_Horas,Grad_No_Se,Grad_Seguir_Estudiando,Grad_Trabajar,Grad_Formar_Familia,Grad_Trabajar_Extranjero,Gustaria_Universidad,Informacion_Prueba,Measure_Mate,Measure_Lect,Desempeño_Mate,Desempeño_Lect,Logro_Mate,Logro_Lect
05-02-0232-46,4402881018,70,307142,054402881018,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,3,5,4,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,3,1,0,1,0,1,0,0,0,1,1,0.987,1.069,2,4,0,1
05-02-0232-46,4511232716,70,307130,054511232716,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,1,2,1,5,4,5,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,5,5,2,1,1,0,1,1,0,0,1,1,1.212,2.016,3,4,1,1
05-02-0232-46,4725686351,70,307091,054725686351,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,1,2,1,2,1,5,4,5,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,5,5,3,1,2,0,1,1,0,0,1,1,1.197,2.974,3,4,1,1
05-02-0232-46,4807987475,70,307127,054807987475,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,4,5,4,5,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,5,5,1,1,2,0,1,0,0,0,1,1,0.861,1.159,2,4,0,1
05-02-0232-46,5001700222,70,307133,055001700222,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,4,5,4,2,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,5,3,1,1,2,0,1,0,0,0,1,1,0.885,1.318,2,4,0,1
05-02-0232-46,5067358097,70,307098,055067358097,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,1,0,1,2,4,2,2,5,4,2,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,5,4,0,0,1,0,1,1,0,1,1,0,1.257,1.969,3,4,1,1
05-02-0232-46,5069012477,70,307094,055069012477,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,18,3,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,1,0,2,3,2,3,5,4,5,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,7,6,0,1,1,0,1,0,0,0,1,1,-0.119,0.695,1,3,0,1
05-02-0232-46,5321647466,70,307116,055321647466,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,4,4,4,2,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,5,5,0,1,1,0,0,1,0,0,1,1,0.38,-0.249,2,1,0,0
05-02-0232-46,5403549742,70,307147,055403549742,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,18,3,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,1,0,2,4,2,4,5,4,5,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,5,5,1,1,1,0,1,1,0,0,1,0,-0.176,0.644,1,3,0,1
05-02-0232-46,5525931044,70,307124,055525931044,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,4,5,5,5,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,5,5,4,1,2,0,1,0,0,0,1,1,2.613,2.884,4,4,1,1
